Community/Area,Low ($/hour),Median ($/hour),High ($/hour),Note
Canada,25.74,45.96,78.38,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Halifax Region,22.29,35.63,60.90,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Quebec,26.59,44.47,72.82,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Montréal Region,24.70,44.25,76.34,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Montérégie Region,29.64,45.34,59.96,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Ontario,26.64,47.30,79.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Hamilton–Niagara Peninsula Region,29.20,47.04,80.36,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Kitchener–Waterloo–Barrie Region,23.26,46.24,75.79,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Ottawa Region,27.30,45.99,78.43,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Toronto Region,27.48,48.38,80.32,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Alberta,28.57,43.14,78.61,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Calgary Region,27.01,42.50,86.89,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Edmonton Region,31.84,46.27,70.65,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
British Columbia,22.67,46.10,83.56,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
Lower Mainland–Southwest Region,23.13,45.87,83.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
