Community/Area,Low ($/hour),Median ($/hour),High ($/hour),Note
Canada,41.83,61.54,94.03,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Newfoundland and Labrador,40.87,60.00,96.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Avalon Peninsula Region,40.87,65.00,96.15,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
West Coast–Northern Peninsula–Labrador Region,48.56,67.88,96.17,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Nova Scotia,38.98,48.08,94.87,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Halifax Region,44.55,48.08,94.87,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
North Shore Region,38.44,54.89,83.84,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
New Brunswick,36.41,60.00,82.21,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Fredericton–Oromocto,36.41,60.00,82.21,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Moncton–Richibucto Region,40.43,53.92,76.17,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Saint John–St. Stephen Region,44.08,61.66,95.21,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Quebec,43.27,65.71,94.87,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Abitibi-Témiscamingue Region,43.27,65.71,94.87,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
