Community/Area,Low ($/hour),Median ($/hour),High ($/hour),Note
Canada,31.25,51.64,81.73,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Newfoundland and Labrador,24.04,46.70,62.02,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Avalon Peninsula Region,24.04,46.70,62.02,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Prince Edward Island,25.00,38.46,56.49,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Nova Scotia,28.85,42.79,72.12,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Halifax Region,23.96,40.42,62.29,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021 																	 Source: 																		 																		 	2021 Census – Statistics Canada
North Shore Region,28.02,42.63,65.88,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Campbellton–Miramichi Region,27.99,40.63,58.70,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Fredericton–Oromocto,32.89,47.01,82.69,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Moncton–Richibucto Region,28.51,39.36,65.72,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Saint John–St. Stephen Region,27.61,42.39,70.89,"Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2022 																	 Source: 																		 																		 	Small Area Estimation 																		 																	 																	 	This wage estimate is produced using a Small Area Estimation (SAE) model developed by Statistics Canada. For more information, please refer to the wage methodology document available at Search wages - Job Bank, or contact Statistics Canada at statcan.labour-travail.statcan@statcan.gc.ca"
Quebec,30.00,49.23,62.50,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
Capitale-Nationale Region,30.00,49.23,62.50,Note 										 																 																 Note 																 															 	 													 																	 Reference period: 2021-2022 																	 Source: 																		 																		 	Labour Force Survey - Statistics Canada
