Rank,Population centre[5],Province[5],Size group[5],Population (2021)[5],Population (2016)[5],Change[5],Land area (km2)[5],Population density (/km2)[5]
"<span data-sort-value=""7000100000000000000♠"">1",Toronto,Ontario,Large urban,"5,647,656","5,433,590",+3.9%,"<span data-sort-value=""7003182905000000000♠"">1,829.05","3,087.8"
"<span data-sort-value=""7000200000000000000♠"">2",Montreal,Quebec,Large urban,"3,675,219","3,528,651",+4.2%,"<span data-sort-value=""7003138247000000000♠"">1,382.47","2,658.4"
"<span data-sort-value=""7000300000000000000♠"">3",Vancouver,British Columbia,Large urban,"2,426,160","2,268,864",+6.9%,"<span data-sort-value=""7002911640000000000♠"">911.64","2,661.3"
"<span data-sort-value=""7000400000000000000♠"">4",Calgary,Alberta,Large urban,"1,305,550","1,240,413",+5.3%,"<span data-sort-value=""7002621720000000000♠"">621.72","2,099.9"
"<span data-sort-value=""7000500000000000000♠"">5",Edmonton,Alberta,Large urban,"1,151,635","1,070,998",+7.5%,"<span data-sort-value=""7002627200000000000♠"">627.2","1,836.2"
"<span data-sort-value=""7000600000000000000♠"">6",Ottawa–Gatineau,Ontario / Quebec,Large urban,"1,068,821","994,576",+7.5%,"<span data-sort-value=""7002549490000000000♠"">549.49","1,945.1"
"<span data-sort-value=""7000700000000000000♠"">7",Winnipeg,Manitoba,Large urban,"758,515","712,858",+6.4%,"<span data-sort-value=""7002356990000000000♠"">356.99","2,124.8"
"<span data-sort-value=""7000800000000000000♠"">8",Quebec City,Quebec,Large urban,"733,156","708,280",+3.5%,"<span data-sort-value=""7002442850000000000♠"">442.85","1,655.5"
"<span data-sort-value=""7000900000000000000♠"">9",Hamilton,Ontario,Large urban,"729,560","693,362",+5.2%,"<span data-sort-value=""7002356030000000000♠"">356.03","2,049.2"
"<span data-sort-value=""7001100000000000000♠"">10",Kitchener,Ontario,Large urban,"522,888","473,230",+10.5%,"<span data-sort-value=""7002296450000000000♠"">296.45","1,763.8"
"<span data-sort-value=""7001110000000000000♠"">11",London,Ontario,Large urban,"423,369","384,784",+10.0%,"<span data-sort-value=""7002244970000000000♠"">244.97","1,728.2"
"<span data-sort-value=""7001120000000000000♠"">12",Victoria,British Columbia,Large urban,"363,222","337,235",+7.7%,"<span data-sort-value=""7002222710000000000♠"">222.71","1,630.9"
"<span data-sort-value=""7001130000000000000♠"">13",Halifax,Nova Scotia,Large urban,"348,634","317,334",+9.9%,"<span data-sort-value=""7002238290000000000♠"">238.29","1,463.1"
"<span data-sort-value=""7001140000000000000♠"">14",Oshawa,Ontario,Large urban,"335,949","309,759",+8.5%,"<span data-sort-value=""7002159790000000000♠"">159.79","2,102.4"
"<span data-sort-value=""7001150000000000000♠"">15",Windsor,Ontario,Large urban,"306,519","288,363",+6.3%,"<span data-sort-value=""7002184960000000000♠"">184.96","1,657.2"
"<span data-sort-value=""7001160000000000000♠"">16",Saskatoon,Saskatchewan,Large urban,"264,637","245,904",+7.6%,"<span data-sort-value=""7002134630000000000♠"">134.63","1,965.7"
"<span data-sort-value=""7001170000000000000♠"">17",St. Catharines – Niagara Falls,Ontario,Large urban,"242,460","229,776",+5.5%,"<span data-sort-value=""7002140590000000000♠"">140.59","1,724.6"
"<span data-sort-value=""7001180000000000000♠"">18",Regina,Saskatchewan,Large urban,"224,996","214,664",+4.8%,"<span data-sort-value=""7002105610000000000♠"">105.61","2,130.4"
"<span data-sort-value=""7001190000000000000♠"">19",St. John's,Newfoundland and Labrador,Large urban,"185,565","181,955",+2.0%,"<span data-sort-value=""7002178000000000000♠"">178","1,042.5"
"<span data-sort-value=""7001200000000000000♠"">20",Kelowna,British Columbia,Large urban,"181,380","160,095",+13.3%,"<span data-sort-value=""7002168920000000000♠"">168.92","1,073.8"
"<span data-sort-value=""7001210000000000000♠"">21",Barrie,Ontario,Large urban,"154,676","146,394",+5.7%,"<span data-sort-value=""7001953300000000000♠"">95.33","1,622.5"
"<span data-sort-value=""7001220000000000000♠"">22",Sherbrooke,Quebec,Large urban,"151,157","140,300",+7.7%,"<span data-sort-value=""7002102610000000000♠"">102.61","1,473.1"
"<span data-sort-value=""7001230000000000000♠"">23",Guelph,Ontario,Large urban,"144,356","132,705",+8.8%,"<span data-sort-value=""7001795699999999999♠"">79.57","1,814.2"
"<span data-sort-value=""7001240000000000000♠"">24",Kanata,Ontario,Large urban,"137,118","118,308",+15.9%,"<span data-sort-value=""7001623500000000000♠"">62.35","2,199.2"
"<span data-sort-value=""7001250000000000000♠"">25",Abbotsford,British Columbia,Large urban,"132,300","122,163",+8.3%,"<span data-sort-value=""7001712000000000000♠"">71.2","1,858.1"
"<span data-sort-value=""7001260000000000000♠"">26",Trois-Rivières,Quebec,Large urban,"128,057","124,158",+3.1%,"<span data-sort-value=""7001985800000000000♠"">98.58","1,299.0"
