Year,OrgSize,Industry,Experience,Title,Country,Salary
2023,100 to 499 employees,Other,2,Research & Development role,Canada,111527.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",9,"Developer, back-end",Canada,101490.0
2023,,Higher Education,,"Developer, full-stack",Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,25,"Developer, desktop or enterprise applications",Canada,
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5,Data scientist or machine learning specialist,Canada,52046.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,50,Other (please specify):,Canada,185879.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,15,"Developer, front-end",Canada,350000.0
2023,500 to 999 employees,Other,22,"Developer, full-stack",Canada,178443.0
2023,"1,000 to 4,999 employees",,10,"Developer, back-end",Canada,118962.0
2023,100 to 499 employees,"Manufacturing, Transportation, or Supply Chain",21,"Developer, full-stack",Canada,64686.0
2023,"5,000 to 9,999 employees",Higher Education,10,"Developer, full-stack",Canada,
2023,"1,000 to 4,999 employees","Manufacturing, Transportation, or Supply Chain",19,Other (please specify):,Canada,
2023,20 to 99 employees,,3,"Developer, full-stack",Canada,59481.0
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",5,"Developer, QA or test",Canada,111527.0
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",8,Data or business analyst,Canada,63199.0
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",6,"Developer, front-end",Canada,53533.0
2023,,,,,Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10,"Developer, back-end",Canada,
2023,20 to 99 employees,Financial Services,3,"Developer, back-end",Canada,96657.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,26,"Developer, full-stack",Canada,156138.0
2023,,,,,Canada,
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",25,"Developer, back-end",Canada,
2023,20 to 99 employees,Healthcare,7,"Developer, back-end",Canada,171008.0
2023,500 to 999 employees,,7,"Engineer, data",Canada,68403.0
2023,,,,,Canada,
2023,,,,,Canada,
2023,"10,000 or more employees",,10,Data scientist or machine learning specialist,Canada,148703.0
2023,100 to 499 employees,"Manufacturing, Transportation, or Supply Chain",10,Other (please specify):,Canada,81787.0
2023,100 to 499 employees,Financial Services,20,"Developer, back-end",Canada,204466.0
2023,"1,000 to 4,999 employees",Insurance,6,"Developer, full-stack",Canada,70634.0
2023,2 to 9 employees,,22,"Developer, full-stack",Canada,81787.0
2023,"1,000 to 4,999 employees",,11,"Developer, back-end",Canada,118962.0
2023,,,,,Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,14,"Developer, full-stack",Canada,
2023,"Just me - I am a freelancer, sole proprietor, etc.",,25,Data scientist or machine learning specialist,Canada,92939.0
2023,500 to 999 employees,Advertising Services,16,"Developer, full-stack",Canada,245360.0
2023,"10,000 or more employees",Financial Services,12,Engineering manager,Canada,118962.0
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5,"Developer, full-stack",Canada,
2023,"10,000 or more employees",,4,"Developer, full-stack",Canada,
2023,"1,000 to 4,999 employees",Other,4,"Developer, full-stack",Canada,74351.0
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",3,"Developer, mobile",Canada,
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",Less than 1 year,Research & Development role,Canada,69147.0
2023,"Just me - I am a freelancer, sole proprietor, etc.",,50,"Developer, desktop or enterprise applications",Canada,
2023,"10,000 or more employees",,14,"Developer, front-end",Canada,
2023,20 to 99 employees,,20,"Developer, back-end",Canada,81787.0
2023,,,,,Canada,
2023,,,,"Developer, front-end",Canada,
2023,10 to 19 employees,,4,"Developer, back-end",Canada,79556.0
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",18,"Developer, back-end",Canada,102605.0
2023,20 to 99 employees,Other,,"Developer, front-end",Canada,127884.0
2023,100 to 499 employees,Healthcare,22,"Developer, full-stack",Canada,111527.0
2023,"5,000 to 9,999 employees",,30,Data or business analyst,Canada,66916.0
2023,"10,000 or more employees",,3,,Canada,
2023,"10,000 or more employees",Financial Services,23,"Developer, full-stack",Canada,111527.0
2023,100 to 499 employees,,4,"Developer, full-stack",Canada,111527.0
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",26,Data scientist or machine learning specialist,Canada,111527.0
2023,2 to 9 employees,Other,10,"Developer, full-stack",Canada,63199.0
2023,,"Information Services, IT, Software Development, or other Technology",,Student,Canada,
